id_measurement,id_rp,id_sensor,temperature,measured_date,humidity,save_date
181,1,1,22,2021-04-24 04:57:45.05928+02,41,2021-04-26 09:39:15.173009
182,1,1,22,2021-04-24 05:02:45.159362+02,41,2021-04-26 09:39:15.311061
183,1,1,22,2021-04-24 05:07:45.259615+02,41,2021-04-26 09:39:15.44971
184,1,1,22,2021-04-24 05:12:45.359471+02,41,2021-04-26 09:39:15.58958
185,1,1,22,2021-04-24 05:17:45.459699+02,41,2021-04-26 09:39:15.753159
186,1,1,22,2021-04-24 05:22:45.559669+02,41,2021-04-26 09:39:15.895315
187,1,1,22,2021-04-24 05:27:45.659805+02,41,2021-04-26 09:39:16.037579
188,1,1,22,2021-04-24 05:32:45.691871+02,41,2021-04-26 09:39:16.174192
189,1,1,22,2021-04-24 05:37:45.792063+02,41,2021-04-26 09:39:16.321648
190,1,1,22,2021-04-24 05:42:45.89221+02,41,2021-04-26 09:39:16.469024
191,1,1,21,2021-04-24 05:47:45.9923+02,41,2021-04-26 09:39:16.6034
192,1,1,21,2021-04-24 05:52:46.092652+02,41,2021-04-26 09:39:16.740521
193,1,1,21,2021-04-24 05:57:46.450835+02,41,2021-04-26 09:39:16.88585
194,1,1,21,2021-04-24 06:02:46.550675+02,41,2021-04-26 09:39:17.028634
195,1,1,21,2021-04-24 06:07:46.908891+02,41,2021-04-26 09:39:17.165492
196,1,1,21,2021-04-24 06:12:47.009302+02,41,2021-04-26 09:39:17.313985
197,1,1,21,2021-04-24 06:17:47.367523+02,41,2021-04-26 09:39:17.46192
198,1,1,21,2021-04-24 06:22:47.467655+02,41,2021-04-26 09:39:17.61861
199,1,1,21,2021-04-24 06:27:47.56772+02,42,2021-04-26 09:39:17.769739
200,1,1,21,2021-04-24 06:32:47.66782+02,42,2021-04-26 09:39:17.915605
201,1,1,21,2021-04-24 06:37:47.767998+02,42,2021-04-26 09:39:18.061409
202,1,1,21,2021-04-24 06:42:47.868088+02,42,2021-04-26 09:39:18.206451
203,1,1,21,2021-04-24 06:47:47.967874+02,42,2021-04-26 09:39:18.351482
204,1,1,21,2021-04-24 06:52:48.068075+02,42,2021-04-26 09:39:18.482266
205,1,1,21,2021-04-24 06:57:48.168174+02,42,2021-04-26 09:39:18.626669
206,1,1,21,2021-04-24 07:02:48.268351+02,42,2021-04-26 09:39:18.782462
207,1,1,21,2021-04-24 07:07:48.368417+02,42,2021-04-26 09:39:18.918485
208,1,1,21,2021-04-24 07:12:48.468603+02,42,2021-04-26 09:39:19.057374
209,1,1,21,2021-04-24 07:17:48.56872+02,42,2021-04-26 09:39:19.190073
210,1,1,21,2021-04-24 07:22:48.668833+02,42,2021-04-26 09:39:19.337387
211,1,1,21,2021-04-24 07:27:48.769053+02,42,2021-04-26 09:39:19.486642
212,1,1,21,2021-04-24 07:32:48.86929+02,42,2021-04-26 09:39:19.634718
213,1,1,21,2021-04-24 07:37:48.969428+02,42,2021-04-26 09:39:19.797618
214,1,1,21,2021-04-24 07:42:49.06942+02,42,2021-04-26 09:39:19.936585
215,1,1,21,2021-04-24 07:47:49.169514+02,42,2021-04-26 09:39:20.076559
216,1,1,21,2021-04-24 07:52:49.269568+02,42,2021-04-26 09:39:20.233624
217,1,1,21,2021-04-24 07:57:49.627693+02,42,2021-04-26 09:39:20.383255
218,1,1,21,2021-04-24 08:02:49.727914+02,42,2021-04-26 09:39:20.524668
219,1,1,21,2021-04-24 08:07:49.810876+02,42,2021-04-26 09:39:20.664636
220,1,1,21,2021-04-24 08:12:49.91074+02,42,2021-04-26 09:39:20.803918
221,1,1,21,2021-04-24 08:17:50.268862+02,42,2021-04-26 09:39:20.944958
